frame,outcome,stratum,n,term,coef,se,t,p
2014_cross,currently_married,all,9262,const,0.80186,0.04355,18.411,0.0
2014_cross,currently_married,all,9262,ideation,0.09297,0.02637,3.526,0.00042
2014_cross,currently_married,all,9262,female,0.01484,0.02545,0.583,0.55995
2014_cross,currently_married,all,9262,age_c,0.14346,0.00328,43.721,0.0
2014_cross,currently_married,all,9262,age_c2,-0.0838,0.0023,-36.494,0.0
2014_cross,currently_married,all,9262,urban,-0.03619,0.0082,-4.412,1e-05
2014_cross,currently_married,all,9262,edu_yrs,-0.00175,0.00105,-1.659,0.09705
2014_cross,currently_married,all,9262,log_income,0.01113,0.00399,2.794,0.00522
2014_cross,currently_married,all,9262,ideation_x_female,0.02308,0.04158,0.555,0.57889
2014_cross,currently_married,male,5614,const,0.59341,0.06113,9.708,0.0
2014_cross,currently_married,male,5614,ideation,0.08343,0.02659,3.138,0.00171
2014_cross,currently_married,male,5614,age_c,0.15657,0.00395,39.623,0.0
2014_cross,currently_married,male,5614,age_c2,-0.07952,0.0028,-28.446,0.0
2014_cross,currently_married,male,5614,urban,-0.03189,0.01017,-3.134,0.00173
2014_cross,currently_married,male,5614,edu_yrs,-0.00135,0.00138,-0.982,0.32618
2014_cross,currently_married,male,5614,log_income,0.03112,0.00576,5.406,0.0
2014_cross,currently_married,female,3648,const,1.06141,0.0607,17.486,0.0
2014_cross,currently_married,female,3648,ideation,0.13969,0.03493,3.999,6e-05
2014_cross,currently_married,female,3648,age_c,0.11014,0.00602,18.299,0.0
2014_cross,currently_married,female,3648,age_c2,-0.0979,0.00419,-23.375,0.0
2014_cross,currently_married,female,3648,urban,-0.03285,0.01359,-2.418,0.01567
2014_cross,currently_married,female,3648,edu_yrs,-0.00351,0.00163,-2.155,0.03121
2014_cross,currently_married,female,3648,log_income,-0.0129,0.00583,-2.214,0.02692
2014_cross,first_marriage_age,all,561,const,21.65609,1.23968,17.469,0.0
2014_cross,first_marriage_age,all,561,ideation,1.26741,0.89706,1.413,0.15826
2014_cross,first_marriage_age,all,561,female,0.30287,0.86367,0.351,0.72597
2014_cross,first_marriage_age,all,561,age_c,0.67401,0.15021,4.487,1e-05
2014_cross,first_marriage_age,all,561,age_c2,-0.27327,0.11254,-2.428,0.01549
2014_cross,first_marriage_age,all,561,urban,1.07103,0.346,3.095,0.00206
2014_cross,first_marriage_age,all,561,edu_yrs,0.20114,0.04878,4.123,4e-05
2014_cross,first_marriage_age,all,561,log_income,0.03396,0.12531,0.271,0.7865
2014_cross,first_marriage_age,all,561,ideation_x_female,-2.90426,1.44046,-2.016,0.04426
2014_cross,first_marriage_age,male,349,const,23.61806,2.22061,10.636,0.0
2014_cross,first_marriage_age,male,349,ideation,1.33087,0.92478,1.439,0.15103
2014_cross,first_marriage_age,male,349,age_c,0.75,0.20597,3.641,0.00031
2014_cross,first_marriage_age,male,349,age_c2,-0.40336,0.14933,-2.701,0.00725
2014_cross,first_marriage_age,male,349,urban,1.49436,0.48424,3.086,0.00219
2014_cross,first_marriage_age,male,349,edu_yrs,0.14612,0.07216,2.025,0.04366
2014_cross,first_marriage_age,male,349,log_income,-0.10836,0.23976,-0.452,0.65159
2014_cross,first_marriage_age,female,212,const,19.25383,1.58555,12.143,0.0
2014_cross,first_marriage_age,female,212,ideation,-1.3394,1.22774,-1.091,0.27657
2014_cross,first_marriage_age,female,212,age_c,0.71211,0.23467,3.034,0.00272
2014_cross,first_marriage_age,female,212,age_c2,-0.01478,0.16085,-0.092,0.92686
2014_cross,first_marriage_age,female,212,urban,0.4418,0.47465,0.931,0.35306
2014_cross,first_marriage_age,female,212,edu_yrs,0.28116,0.06242,4.504,1e-05
2014_cross,first_marriage_age,female,212,log_income,0.21036,0.13399,1.57,0.11796
2014_cross,ideal_children,all,9240,const,1.84043,0.08487,21.685,0.0
2014_cross,ideal_children,all,9240,ideation,0.32154,0.05171,6.218,0.0
2014_cross,ideal_children,all,9240,female,0.00714,0.04358,0.164,0.86988
2014_cross,ideal_children,all,9240,age_c,0.04727,0.00604,7.82,0.0
2014_cross,ideal_children,all,9240,age_c2,-0.00664,0.00423,-1.568,0.11685
2014_cross,ideal_children,all,9240,urban,-0.13454,0.01593,-8.448,0.0
2014_cross,ideal_children,all,9240,edu_yrs,-0.00421,0.00225,-1.874,0.06094
2014_cross,ideal_children,all,9240,log_income,-0.0045,0.00793,-0.567,0.57072
2014_cross,ideal_children,all,9240,ideation_x_female,-0.00571,0.07566,-0.075,0.93983
2014_cross,ideal_children,male,5598,const,1.74374,0.10974,15.889,0.0
2014_cross,ideal_children,male,5598,ideation,0.34014,0.05237,6.494,0.0
2014_cross,ideal_children,male,5598,age_c,0.043,0.00746,5.761,0.0
2014_cross,ideal_children,male,5598,age_c2,-0.00538,0.00519,-1.035,0.30069
2014_cross,ideal_children,male,5598,urban,-0.16752,0.02104,-7.96,0.0
2014_cross,ideal_children,male,5598,edu_yrs,0.00056,0.00283,0.198,0.84335
2014_cross,ideal_children,male,5598,log_income,0.00043,0.01025,0.042,0.96667
2014_cross,ideal_children,female,3642,const,1.9552,0.11958,16.35,0.0
2014_cross,ideal_children,female,3642,ideation,0.26344,0.05748,4.583,0.0
2014_cross,ideal_children,female,3642,age_c,0.0575,0.01137,5.06,0.0
2014_cross,ideal_children,female,3642,age_c2,-0.00362,0.00809,-0.448,0.65424
2014_cross,ideal_children,female,3642,urban,-0.09062,0.02418,-3.747,0.00018
2014_cross,ideal_children,female,3642,edu_yrs,-0.0099,0.00364,-2.718,0.00659
2014_cross,ideal_children,female,3642,log_income,-0.00879,0.01225,-0.718,0.47298
2014_cross,housework_hours,all,9254,const,3.12738,0.17821,17.549,0.0
2014_cross,housework_hours,all,9254,ideation,-0.25251,0.0995,-2.538,0.01117
2014_cross,housework_hours,all,9254,female,0.13708,0.08584,1.597,0.11034
2014_cross,housework_hours,all,9254,age_c,0.21775,0.01397,15.584,0.0
2014_cross,housework_hours,all,9254,age_c2,-0.04141,0.01258,-3.292,0.001
2014_cross,housework_hours,all,9254,urban,-0.13071,0.03133,-4.172,3e-05
2014_cross,housework_hours,all,9254,edu_yrs,-0.03195,0.00473,-6.755,0.0
2014_cross,housework_hours,all,9254,log_income,-0.14515,0.0163,-8.907,0.0
2014_cross,housework_hours,all,9254,ideation_x_female,1.08625,0.15455,7.028,0.0
2014_cross,housework_hours,male,5611,const,2.9842,0.24911,11.979,0.0
2014_cross,housework_hours,male,5611,ideation,-0.17839,0.09857,-1.81,0.07036
2014_cross,housework_hours,male,5611,age_c,0.1479,0.01643,9.002,0.0
2014_cross,housework_hours,male,5611,age_c2,-0.02684,0.01621,-1.656,0.09781
2014_cross,housework_hours,male,5611,urban,-0.16262,0.03874,-4.197,3e-05
2014_cross,housework_hours,male,5611,edu_yrs,-0.02721,0.00649,-4.195,3e-05
2014_cross,housework_hours,male,5611,log_income,-0.14088,0.02313,-6.091,0.0
2014_cross,housework_hours,female,3643,const,3.39727,0.23646,14.367,0.0
2014_cross,housework_hours,female,3643,ideation,0.58086,0.11868,4.894,0.0
2014_cross,housework_hours,female,3643,age_c,0.36881,0.02507,14.711,0.0
2014_cross,housework_hours,female,3643,age_c2,-0.03166,0.019,-1.666,0.0958
2014_cross,housework_hours,female,3643,urban,-0.1305,0.05211,-2.504,0.01231
2014_cross,housework_hours,female,3643,edu_yrs,-0.03141,0.00675,-4.654,0.0
2014_cross,housework_hours,female,3643,log_income,-0.14155,0.02304,-6.144,0.0
2020_cross,currently_married,all,9771,const,0.65107,0.0462,14.091,0.0
2020_cross,currently_married,all,9771,ideation,0.10581,0.02726,3.881,0.0001
2020_cross,currently_married,all,9771,female,0.07262,0.02115,3.433,0.0006
